zip,zip_overdoses,total_overdoses,zip_percent_overdoses
20874,62,659,9.408194233687405
20852,56,659,8.49772382397572
20906,51,659,7.7389984825493165
20877,50,659,7.587253414264036
20850,43,659,6.525037936267071
20878,43,659,6.525037936267071
20902,40,659,6.0698027314112295
20904,40,659,6.0698027314112295
20910,31,659,4.704097116843703
20886,25,659,3.793626707132018
20876,22,659,3.338391502276176
20853,20,659,3.0349013657056148
20879,20,659,3.0349013657056148
20901,19,659,2.8831562974203337
20817,18,659,2.731411229135053
20871,14,659,2.12443095599393
20895,14,659,2.12443095599393
20855,12,659,1.8209408194233687
20814,10,659,1.5174506828528074
20854,8,659,1.2139605462822458
20872,8,659,1.2139605462822458
20882,8,659,1.2139605462822458
20815,6,659,0.9104704097116844
20851,6,659,0.9104704097116844
20903,6,659,0.9104704097116844
20866,5,659,0.7587253414264037
20816,4,659,0.6069802731411229
20905,4,659,0.6069802731411229
20841,3,659,0.4552352048558422
20832,2,659,0.30349013657056145
20837,2,659,0.30349013657056145
20860,2,659,0.30349013657056145
20707,1,659,0.15174506828528073
20833,1,659,0.15174506828528073
20861,1,659,0.15174506828528073
20889,1,659,0.15174506828528073
21794,1,659,0.15174506828528073
